test_id,description,period,variable_1,variable_2,sample_size_total,sample_size_used,pct_missing,contingency_table,chi_square,dof,p_value_raw,p_value_bonferroni_adjusted,significant,cramers_v,effect_size_category,relative_risk,odds_ratio,rr_95ci,or_95ci,interpretation
T001,Road Class × Collision Severity,Pre-COVID (2006-2019),ROAD_CLASS,ACCLASS,15674,15346,2.092637488835013,"{""Fatal"": {""Collector"": 129, ""Expressway"": 3, ""Expressway Ramp"": 0, ""Laneway"": 6, ""Local"": 91, ""Major Arterial"": 1541, ""Major Arterial "": 0, ""Minor Arterial"": 292, ""Other"": 0, ""Pending"": 0}, ""Non-Fatal Injury"": {""Collector"": 739, ""Expressway"": 45, ""Expressway Ramp"": 4, ""Laneway"": 4, ""Local"": 629, ""Major Arterial"": 9702, ""Major Arterial "": 1, ""Minor Arterial"": 2126, ""Other"": 25, ""Pending"": 7}, ""Property Damage O"": {""Collector"": 0, ""Expressway"": 0, ""Expressway Ramp"": 0, ""Laneway"": 0, ""Local"": 0, ""Major Arterial"": 2, ""Major Arterial "": 0, ""Minor Arterial"": 0, ""Other"": 0, ""Pending"": 0}}",33.705947372642974,18,0.013690552474988552,0.27381104949977103,False,0.03313909731776346,Negligible,,,,,
T002,Traffic Control × Collision Severity,Pre-COVID (2006-2019),TRAFFCTL,ACCLASS,15674,15645,0.18501977797626643,"{""Fatal"": {""No Control"": 1148, ""Pedestrian Crossover"": 27, ""Police Control"": 0, ""School Guard"": 0, ""Stop Sign"": 143, ""Streetcar (Stop for)"": 0, ""Traffic Controller"": 0, ""Traffic Gate"": 3, ""Traffic Signal"": 811, ""Yield Sign"": 0}, ""Non-Fatal Injury"": {""No Control"": 6400, ""Pedestrian Crossover"": 156, ""Police Control"": 2, ""School Guard"": 2, ""Stop Sign"": 1055, ""Streetcar (Stop for)"": 16, ""Traffic Controller"": 98, ""Traffic Gate"": 2, ""Traffic Signal"": 5764, ""Yield Sign"": 16}, ""Property Damage O"": {""No Control"": 2, ""Pedestrian Crossover"": 0, ""Police Control"": 0, ""School Guard"": 0, ""Stop Sign"": 0, ""Streetcar (Stop for)"": 0, ""Traffic Controller"": 0, ""Traffic Gate"": 0, ""Traffic Signal"": 0, ""Yield Sign"": 0}}",60.90961466511807,18,1.4573566218339775e-06,2.914713243667955e-05,False,0.04412047144810163,Negligible,,,,,
T003,Accident Location × Collision Severity,Pre-COVID (2006-2019),ACCLOC,ACCLASS,15674,10465,33.23338011994386,"{""Fatal"": {""At Intersection"": 918, ""At/Near Private Drive"": 11, ""Intersection Related"": 137, ""Laneway"": 2, ""Non Intersection"": 310, ""Overpass or Bridge"": 3, ""Private Driveway"": 0, ""Trail"": 0, ""Underpass or Tunnel"": 2}, ""Non-Fatal Injury"": {""At Intersection"": 6630, ""At/Near Private Drive"": 281, ""Intersection Related"": 735, ""Laneway"": 9, ""Non Intersection"": 1403, ""Overpass or Bridge"": 5, ""Private Driveway"": 12, ""Trail"": 1, ""Underpass or Tunnel"": 4}, ""Property Damage O"": {""At Intersection"": 0, ""At/Near Private Drive"": 0, ""Intersection Related"": 0, ""Laneway"": 0, ""Non Intersection"": 2, ""Overpass or Bridge"": 0, ""Private Driveway"": 0, ""Trail"": 0, ""Underpass or Tunnel"": 0}}",88.96890643763422,16,3.872552749729435e-12,7.74510549945887e-11,False,0.0651980357974157,Negligible,,,,,
T004,Light Conditions × Collision Severity,Pre-COVID (2006-2019),LIGHT,ACCLASS,15674,15674,0.0,"{""Fatal"": {""Dark"": 579, ""Dark, artificial"": 356, ""Dawn"": 17, ""Dawn, artificial"": 18, ""Daylight"": 1093, ""Daylight, artificial"": 14, ""Dusk"": 37, ""Dusk, artificial"": 17, ""Other"": 4}, ""Non-Fatal Injury"": {""Dark"": 2792, ""Dark, artificial"": 2216, ""Dawn"": 81, ""Dawn, artificial"": 71, ""Daylight"": 7934, ""Daylight, artificial"": 109, ""Dusk"": 185, ""Dusk, artificial"": 147, ""Other"": 2}, ""Property Damage O"": {""Dark"": 0, ""Dark, artificial"": 2, ""Dawn"": 0, ""Dawn, artificial"": 0, ""Daylight"": 0, ""Daylight, artificial"": 0, ""Dusk"": 0, ""Dusk, artificial"": 0, ""Other"": 0}}",86.60994795749544,16,1.0486496409023167e-11,2.0972992818046332e-10,False,0.052562857841058026,Negligible,,,,,
T005,Weather Visibility × Collision Severity,Pre-COVID (2006-2019),VISIBILITY,ACCLASS,15674,15656,0.11483986219216537,"{""Fatal"": {""Clear"": 1825, ""Drifting Snow"": 0, ""Fog, Mist, Smoke, Dust"": 6, ""Freezing Rain"": 2, ""Other"": 36, ""Rain"": 216, ""Snow"": 32, ""Strong wind"": 0}, ""Non-Fatal Injury"": {""Clear"": 11624, ""Drifting Snow"": 19, ""Fog, Mist, Smoke, Dust"": 36, ""Freezing Rain"": 39, ""Other"": 57, ""Rain"": 1468, ""Snow"": 286, ""Strong wind"": 8}, ""Property Damage O"": {""Clear"": 2, ""Drifting Snow"": 0, ""Fog, Mist, Smoke, Dust"": 0, ""Freezing Rain"": 0, ""Other"": 0, ""Rain"": 0, ""Snow"": 0, ""Strong wind"": 0}}",61.62428331557333,14,6.076632907312482e-08,1.2153265814624965e-06,False,0.04436296214677331,Negligible,,,,,
T006,Road Surface × Collision Severity,Pre-COVID (2006-2019),RDSFCOND,ACCLASS,15674,15651,0.14673982391221133,"{""Fatal"": {""Dry"": 1674, ""Ice"": 2, ""Loose Sand or Gravel"": 0, ""Loose Snow"": 13, ""Other"": 45, ""Packed Snow"": 9, ""Slush"": 7, ""Spilled liquid"": 0, ""Wet"": 362}, ""Non-Fatal Injury"": {""Dry"": 10808, ""Ice"": 70, ""Loose Sand or Gravel"": 7, ""Loose Snow"": 142, ""Other"": 92, ""Packed Snow"": 31, ""Slush"": 86, ""Spilled liquid"": 1, ""Wet"": 2300}, ""Property Damage O"": {""Dry"": 2, ""Ice"": 0, ""Loose Sand or Gravel"": 0, ""Loose Snow"": 0, ""Other"": 0, ""Packed Snow"": 0, ""Slush"": 0, ""Spilled liquid"": 0, ""Wet"": 0}}",61.97159743114963,16,2.4276281077584387e-07,4.855256215516877e-06,False,0.044494906854920344,Negligible,,,,,
T007,Time of Day × Collision Severity,Pre-COVID (2006-2019),TIME_OF_DAY,ACCLASS,15674,15674,0.0,"{""Fatal"": {""Unknown"": 2135}, ""Non-Fatal Injury"": {""Unknown"": 13537}, ""Property Damage O"": {""Unknown"": 2}}",0.0,0,1.0,20.0,False,0.0,Negligible,,,,,
T008,Day of Week × Collision Severity,Pre-COVID (2006-2019),DAY_NAME,ACCLASS,15674,15674,0.0,"{""Fatal"": {""Friday"": 359, ""Monday"": 257, ""Saturday"": 285, ""Sunday"": 248, ""Thursday"": 319, ""Tuesday"": 375, ""Wednesday"": 292}, ""Non-Fatal Injury"": {""Friday"": 2178, ""Monday"": 1854, ""Saturday"": 1831, ""Sunday"": 1878, ""Thursday"": 1888, ""Tuesday"": 1929, ""Wednesday"": 1979}, ""Property Damage O"": {""Friday"": 0, ""Monday"": 0, ""Saturday"": 0, ""Sunday"": 2, ""Thursday"": 0, ""Tuesday"": 0, ""Wednesday"": 0}}",40.27039981526657,12,6.484230170175306e-05,0.0012968460340350612,False,0.03584165471288887,Negligible,,,,,
T009,Season × Collision Severity,Pre-COVID (2006-2019),SEASON,ACCLASS,15674,15674,0.0,"{""Fatal"": {""Fall"": 598, ""Spring"": 442, ""Summer"": 614, ""Winter"": 481}, ""Non-Fatal Injury"": {""Fall"": 3762, ""Spring"": 3051, ""Summer"": 3948, ""Winter"": 2776}, ""Property Damage O"": {""Fall"": 2, ""Spring"": 0, ""Summer"": 0, ""Winter"": 0}}",11.742028866507594,6,0.0679775527156783,1.359551054313566,False,0.019353818004653932,Negligible,,,,,
T010,Ward × Collision Severity,Pre-COVID (2006-2019),WARD_DESC,ACCLASS,15674,15674,0.0,"{""Fatal"": {""Beaches-East York (19)"": 42, ""Davenport (9)"": 68, ""Don Valley East (16)"": 90, ""Don Valley North (17)"": 57, ""Don Valley West (15)"": 52, ""Eglinton-Lawrence (8)"": 76, ""Etobicoke Centre (2)"": 77, ""Etobicoke North (1)"": 123, ""Etobicoke-Lakeshore (3)"": 89, ""Humber River-Black Creek (7)"": 90, ""Outside Wards"": 16, ""Parkdale-High Park (4)"": 109, ""Scarborough Centre (21)"": 163, ""Scarborough North (23)"": 78, ""Scarborough Southwest (20)"": 136, ""Scarborough-Agincourt (22)"": 108, ""Scarborough-Guildwood (24)"": 81, ""Scarborough-Rouge Park (25)"": 76, ""Spadina-Fort York (10)"": 94, ""Toronto Centre (13)"": 58, ""Toronto-Danforth (14)"": 63, ""Toronto-St. Paul's (12)"": 51, ""University-Rosedale (11)"": 89, ""Willowdale (18)"": 76, ""York Centre (6)"": 106, ""York South-Weston (5)"": 67}, ""Non-Fatal Injury"": {""Beaches-East York (19)"": 428, ""Davenport (9)"": 643, ""Don Valley East (16)"": 337, ""Don Valley North (17)"": 383, ""Don Valley West (15)"": 328, ""Eglinton-Lawrence (8)"": 385, ""Etobicoke Centre (2)"": 494, ""Etobicoke North (1)"": 698, ""Etobicoke-Lakeshore (3)"": 656, ""Humber River-Black Creek (7)"": 416, ""Outside Wards"": 102, ""Parkdale-High Park (4)"": 525, ""Scarborough Centre (21)"": 593, ""Scarborough North (23)"": 559, ""Scarborough Southwest (20)"": 573, ""Scarborough-Agincourt (22)"": 483, ""Scarborough-Guildwood (24)"": 419, ""Scarborough-Rouge Park (25)"": 367, ""Spadina-Fort York (10)"": 956, ""Toronto Centre (13)"": 652, ""Toronto-Danforth (14)"": 658, ""Toronto-St. Paul's (12)"": 468, ""University-Rosedale (11)"": 782, ""Willowdale (18)"": 422, ""York Centre (6)"": 556, ""York South-Weston (5)"": 654}, ""Property Damage O"": {""Beaches-East York (19)"": 0, ""Davenport (9)"": 0, ""Don Valley East (16)"": 0, ""Don Valley North (17)"": 0, ""Don Valley West (15)"": 0, ""Eglinton-Lawrence (8)"": 0, ""Etobicoke Centre (2)"": 0, ""Etobicoke North (1)"": 0, ""Etobicoke-Lakeshore (3)"": 0, ""Humber River-Black Creek (7)"": 0, ""Outside Wards"": 0, ""Parkdale-High Park (4)"": 0, ""Scarborough Centre (21)"": 0, ""Scarborough North (23)"": 0, ""Scarborough Southwest (20)"": 2, ""Scarborough-Agincourt (22)"": 0, ""Scarborough-Guildwood (24)"": 0, ""Scarborough-Rouge Park (25)"": 0, ""Spadina-Fort York (10)"": 0, ""Toronto Centre (13)"": 0, ""Toronto-Danforth (14)"": 0, ""Toronto-St. Paul's (12)"": 0, ""University-Rosedale (11)"": 0, ""Willowdale (18)"": 0, ""York Centre (6)"": 0, ""York South-Weston (5)"": 0}}",263.0634543670675,50,1.0644780691263568e-30,2.1289561382527136e-29,False,0.09160629958825159,Negligible,,,,,
T011,District × Collision Severity,Pre-COVID (2006-2019),DISTRICT,ACCLASS,15674,15656,0.11483986219216537,"{""Fatal"": {""Etobicoke York"": 487, ""North York"": 474, ""Scarborough"": 624, ""Toronto and East York"": 548}, ""Non-Fatal Injury"": {""Etobicoke York"": 3129, ""North York"": 2653, ""Scarborough"": 2905, ""Toronto and East York"": 4834}, ""Property Damage O"": {""Etobicoke York"": 0, ""North York"": 0, ""Scarborough"": 2, ""Toronto and East York"": 0}}",116.73725980638604,6,7.889207401836074e-23,1.5778414803672147e-21,False,0.06105895162698064,Negligible,,,,,
